participant_id,session_id,session_start_time,days_since_baseline,employment_phase
6B,6B_1593437366,2020-06-29 13:29:26,67,Adjustment_Phase
6B,6B_1593446044,2020-06-29 15:54:04,68,Adjustment_Phase
6B,6B_1593455714,2020-06-29 18:35:14,68,Adjustment_Phase
6B,6B_1593514692,2020-06-30 10:58:12,68,Adjustment_Phase
6B,6B_1593535767,2020-06-30 16:49:27,69,Adjustment_Phase
6D,6D_1594751512,2020-07-14 18:31:52,0,Initial_Phase
6D,6D_1594757863,2020-07-14 20:17:43,0,Initial_Phase
6D,6D_1594831043,2020-07-15 16:37:23,0,Initial_Phase
6D,6D_1594910470,2020-07-16 14:41:10,1,Initial_Phase
6D,6D_1594998483,2020-07-17 15:08:03,2,Initial_Phase
6D,6D_1595252734,2020-07-20 13:45:34,5,Initial_Phase
6D,6D_1595339521,2020-07-21 13:52:01,6,Initial_Phase
6D,6D_1595523837,2020-07-23 17:03:57,8,Initial_Phase
6D,6D_1595604487,2020-07-24 15:28:07,9,Initial_Phase
7A,7A_1587212302,2020-04-18 12:18:22,0,Initial_Phase
7A,7A_1587228286,2020-04-18 16:44:46,0,Initial_Phase
7A,7A_1587298286,2020-04-19 12:11:26,0,Initial_Phase
7A,7A_1587326219,2020-04-19 19:56:59,1,Initial_Phase
7A,7A_1587556854,2020-04-22 12:00:54,3,Initial_Phase
7A,7A_1587583295,2020-04-22 19:21:35,4,Initial_Phase
7A,7A_1587643240,2020-04-23 12:00:40,4,Initial_Phase
7A,7A_1587734399,2020-04-24 13:19:59,6,Initial_Phase
7A,7A_1588977047,2020-05-08 22:30:47,20,Adjustment_Phase
7A,7A_1589022077,2020-05-09 11:01:17,20,Adjustment_Phase
7A,7A_1589025873,2020-05-09 12:04:33,20,Adjustment_Phase
7A,7A_1589055551,2020-05-09 20:19:11,21,Adjustment_Phase
7A,7A_1589141032,2020-05-10 20:03:52,22,Adjustment_Phase
7A,7A_1592752730,2020-06-21 15:18:50,64,Adjustment_Phase
7A,7A_1592925663,2020-06-23 15:21:03,66,Adjustment_Phase
7A,7A_1592926011,2020-06-23 15:26:51,66,Adjustment_Phase
7A,7A_1592926372,2020-06-23 15:32:52,66,Adjustment_Phase
7A,7A_1592933285,2020-06-23 17:28:05,66,Adjustment_Phase
7A,7A_1592941276,2020-06-23 19:41:16,66,Adjustment_Phase
7A,7A_1593091052,2020-06-25 13:17:32,68,Adjustment_Phase
7A,7A_1593101633,2020-06-25 16:13:53,68,Adjustment_Phase
7A,7A_1593104418,2020-06-25 17:00:18,68,Adjustment_Phase
7A,7A_1593115159,2020-06-25 19:59:19,68,Adjustment_Phase
7A,7A_1593177044,2020-06-26 13:10:44,69,Adjustment_Phase
7A,7A_1593192268,2020-06-26 17:24:28,69,Adjustment_Phase
7A,7A_1593203567,2020-06-26 20:32:47,69,Adjustment_Phase
7A,7A_1593436174,2020-06-29 13:09:34,72,Adjustment_Phase
7A,7A_1593439820,2020-06-29 14:10:20,72,Adjustment_Phase
7A,7A_1593450967,2020-06-29 17:16:07,72,Adjustment_Phase
